global_substep,control,within_substep,cup_vx_mps,cup_vy_mps,cup_vz_mps,cup_linear_speed_mps,cup_x_m,cup_y_m,cup_z_m,cup_displacement_from_reset_mm,left_pinky_MP_records,left_pinky_MP_min_separation_m,left_pinky_MP_max_force_N,cup_to_table_records,cup_to_table_min_separation_m,cup_to_table_max_force_N,all_left_plus_table_records
0,1,0,-0.03299069404602051,-0.07126396894454956,-0.05180353671312332,0.09407734125852585,-0.14051218330860138,0.16430559754371643,0.9377297163009644,0.5874634790687748,20,5.6605786085128784e-05,7.056977272033691,0,,,232
1,1,1,0.015729671344161034,-0.12297903746366501,-0.11926166713237762,0.17203085124492645,-0.14054018259048462,0.16395418345928192,0.937309980392456,1.042431041578322,20,0.001042153686285019,0.0,0,,,216
2,1,2,0.014049382880330086,-0.1586572676897049,-0.14902734756469727,0.2181253433227539,-0.1403835415840149,0.16339054703712463,0.9366295337677002,1.8397514961531778,19,0.0015734396874904633,0.0,0,,,198
3,1,3,-0.016943182796239853,-0.1299726963043213,0.03273948282003403,0.135099396109581,-0.14041560888290405,0.16276775300502777,0.9364418387413025,2.4208217496981383,20,0.0018354468047618866,0.0,0,,,189
4,1,4,-0.04320875555276871,-0.12337248027324677,0.052956968545913696,0.14103972911834717,-0.14060905575752258,0.162141352891922,0.9366246461868286,2.867049984906592,15,0.0017514191567897797,0.0,0,,,178
5,1,5,-0.04815700277686119,-0.11885176599025726,0.04596518352627754,0.13622641563415527,-0.1408597081899643,0.16152313351631165,0.9367957711219788,3.401327555726595,16,0.0014385022222995758,0.0,0,,,181
6,1,6,-0.07887345552444458,-0.1855601966381073,0.023108765482902527,0.20294733345508575,-0.14117611944675446,0.16082659363746643,0.936906635761261,4.0888906461784025,14,0.0010019391775131226,13.858128547668457,0,,,185
7,1,7,-0.0896194726228714,-0.16475677490234375,0.019093874841928482,0.18852326273918152,-0.14149382710456848,0.1601334512233734,0.9370145797729492,4.800300807038448,14,0.0009843558073043823,10.360218048095703,0,,,183
8,1,8,-0.09124702215194702,-0.14037473499774933,0.014809918589890003,0.16807860136032104,-0.1418374627828598,0.15953126549720764,0.9370869398117065,5.4562543334045674,14,0.0009658187627792358,7.278909206390381,0,,,188
9,1,9,-0.07964944839477539,-0.10855298489332199,0.01476479135453701,0.13544660806655884,-0.14215755462646484,0.1590532809495926,0.9371580481529236,5.997966913250963,14,0.000982675701379776,4.5759382247924805,0,,,185
10,1,10,-0.05830822139978409,-0.07436484843492508,0.012013737112283707,0.0952591672539711,-0.14240163564682007,0.15872204303741455,0.937240481376648,6.381524170938562,14,0.0009911097586154938,3.8781955242156982,0,,,183
11,1,11,-0.03390863910317421,-0.029957972466945648,0.013723384588956833,0.04728220775723457,-0.14256009459495544,0.15852999687194824,0.9373102784156799,6.610057007001737,14,0.0009944550693035126,2.3604249954223633,0,,,183
